Ji-soo,Kim,F,false,33
Min-ah,Kim,F,true,26
Ji-won,Choi,F,true,23
Min-seo,Lee,F,false,40
Ji-eun,Park,F,false,33
Hye-jin,Seo,F,true,24
Ji-soo,Han,F,true,41
Min-ji,Lee,F,true,30
Ji-yoon,Lee,F,false,25
Hye-jin,Park,F,false,42
Ji-hwan,Kim,M,true,35
Ji-hyun,Jeong,F,false,41
Min-ah,Kim,F,true,34
Ji-won,Lee,F,true,27
Min-seo,Kim,F,false,50
Ji-eun,Park,F,true,28
Hye-jin,Lee,F,true,41
Ji-soo,Lee,F,false,30
Min-seok,Lim,M,false,37
Ji-yoon,Kim,F,true,22
Hye-ri,Kim,F,true,45
Ji-hwan,Kim,M,false,30
Ji-hyun,Kim,F,true,26
Min-ji,Lee,F,false,41
Ji-woo,Lim,F,false,36
Hye-jin,Choi,F,true,49
Ji-seok,Lee,M,true,54
Min-ji,Park,F,false,32
Ji-yoon,Kim,F,true,27
Hye-ri,Lim,F,false,53
Ji-won,Choi,F,false,40
Min-seo,Lee,F,true,49
Ji-eun,Jeong,F,true,34
Hye-jin,Lee,F,false,37
Ji-soo,Kim,F,false,35
Min-ah,Kim,F,true,30
Ji-won,Choi,F,true,29
Min-seo,Lee,F,false,46
Ji-eun,Park,F,false,35
Hye-jin,Seo,F,true,26
Ji-soo,Han,F,true,43
Min-ji,Lee,F,true,38
Ji-yoon,Lee,F,false,33
Hye-jin,Park,F,false,48
Ji-hwan,Kim,M,true,31
Ji-hyun,Jeong,F,false,37
Min-ah,Kim,F,true,32
Ji-won,Lee,F,true,25
Min-seo,Kim,F,false,49
Ji-eun,Park,F,true,26
Hye-jin,Lee,F,true,38
Ji-soo,Lee,F,false,33
Min-seok,Lim,M,false,38
Ji-yoon,Kim,F,true,22
Hye-ri,Kim,F,true,45
Ji-hwan,Kim,M,false,30
Ji-hyun,Kim,F,true,26
Min-ji,Lee,F,false,41
Ji-woo,Lim,F,false,36
Hye-jin,Choi,F,true,49
Ji-seok,Lee,M,true,54
Min-ji,Park,F,false,32
Ji-yoon,Kim,F,true,27
Hye-ri,Lim,F,false,53
Ji-won,Choi,F,false,40
Min-seo,Lee,F,true,49
Ji-eun,Jeong,F,true,34
Hye-jin,Lee,F,false,37
Ji-soo,Kim,F,false,35
Min-ah,Kim,F,true,30
Ji-won,Choi,F,true,29
Min-seo,Lee,F,false,46
Ji-eun,Park,F,false,35
Hye-jin,Seo,F,true,26
Ji-soo,Han,F,true,43
Min-ji,Lee,F,true,38
Ji-yoon,Lee,F,false,33
Hye-jin,Park,F,false,48
Ji-hwan,Kim,M,true,31
Ji-hyun,Jeong,F,false,37
Min-ah,Kim,F,true,32
Ji-won,Lee,F,true,25
Min-seo,Kim,F,false,49
Ji-eun,Park,F,true,26
Hye-jin,Lee,F,true,38
Ji-soo,Lee,F,false,33
Min-seok,Lim,M,false,38
Ji-yoon,Kim,F,true,22
Hye-ri,Kim,F,true,45
Ji-hwan,Kim,M,false,30
Ji-hyun,Kim,F,true,26
Min-ji,Lee,F,false,41
Ji-woo,Lim,F,false,36
Hye-jin,Choi,F,true,49
Ji-seok,Lee,M,true,54
